iter	RMSE
0	1.378526334
1	1.335897078
2	1.296686314
3	1.259596273
4	1.224941071
5	1.191593223
6	1.161020028
7	1.13204047
8	1.105224611
9	1.08123591
10	1.058873097
11	1.037766573
12	1.017615451
13	0.9983419665
14	0.9810360387
15	0.9655002779
16	0.9508628077
17	0.9351316267
18	0.9223898454
19	0.9104031223
20	0.8985394981
21	0.8880828664
22	0.8788537599
23	0.8696274498
24	0.860684985
25	0.8515336144
26	0.8429385985
27	0.8360502435
28	0.8293946751
29	0.8233008696
30	0.8178599185
31	0.812756474
32	0.8077977342
33	0.8032994729
34	0.799235371
35	0.794500449
36	0.7903293316
37	0.7859101642
38	0.7817589901
39	0.7782543665
40	0.7754221357
41	0.7719499481
42	0.7686527291
43	0.7660139568
44	0.7635785962
45	0.761468471
46	0.7589573601
47	0.7564163181
48	0.7547468685
49	0.7530935702
50	0.7509228752
51	0.7487855431
52	0.7472304327
53	0.745812015
54	0.7435792226
55	0.7419328545
56	0.7392916561
57	0.7375817719
58	0.7354159588
59	0.7335485166
60	0.7314676109
61	0.7298483995
62	0.7285351025
63	0.7269637385
64	0.7252325449
65	0.7242652087
66	0.7234293466
67	0.7211995385
68	0.7195222983
69	0.7180915286
70	0.7171952145
71	0.7156195775
72	0.7140144548
73	0.7133755554
74	0.7124256928
75	0.7104274436
76	0.7090847549
77	0.7079812929
78	0.7066611045
79	0.7053133131
80	0.7038901421
81	0.702949543
82	0.7015293037
83	0.7003152156
84	0.6994934975
85	0.6987451943
86	0.6974779939
87	0.6962048055
88	0.6953466352
89	0.693870875
90	0.6925156844
91	0.6911453488
92	0.6905622004
93	0.6889391827
94	0.6876798539
95	0.6859543775
96	0.6852444782
97	0.6840819077
