iter	Passed	Remaining
0	1847	922091
1	3430	854111
2	4366	723385
3	5730	710522
4	6628	656216
5	8920	734438
6	10478	737985
7	14010	861668
8	17069	931260
9	19976	978850
10	21629	961529
11	23592	959447
12	25204	944199
13	26624	924261
14	29501	953887
15	35509	1074165
16	37581	1067753
17	43415	1162561
18	45938	1162980
19	48255	1158131
20	50116	1143134
21	51921	1128113
22	53339	1106209
23	54691	1084707
24	56349	1070647
25	57747	1052779
26	61524	1077811
27	62783	1058344
28	64104	1041145
29	65109	1020052
30	66221	1001873
31	67413	985925
32	68264	966041
33	69657	954723
34	71357	948038
35	73546	947934
36	75190	940899
37	77122	937650
38	79062	934559
39	81185	933632
40	82914	928233
41	83868	914567
42	85975	913735
43	86952	901143
44	89352	903457
45	90772	895888
46	92280	889426
47	93388	879410
48	94785	872411
49	96319	866875
50	97929	862165
51	99563	857778
52	100898	850971
53	102344	845287
54	103427	836820
55	104862	831408
56	106394	826893
57	107697	820727
58	109118	815616
59	110470	810113
60	111466	802189
61	113004	798321
62	114714	795717
63	115852	789243
64	117098	783657
65	118642	780167
66	120158	776549
67	121804	773816
68	123223	769702
69	124505	764817
70	125971	761153
71	127299	756727
72	128236	750092
73	129652	746379
74	131116	742994
75	133056	742313
76	134352	738064
77	135891	735210
78	137270	731532
79	138674	728042
80	139817	723255
81	141301	720290
82	142551	716190
83	143992	713105
84	145275	709284
85	147730	711167
86	151913	721151
87	156483	732628
88	160874	742916
89	164056	747366
90	165528	743968
91	169374	751141
92	173647	759941
93	177976	768707
94	182978	780065
95	189303	796651
96	196682	817145
97	201845	827977
